Name,Country,Profile,Period,Commodity,TradingDate,Contract,DeliveryPeriod,DeliveryStart,DeliveryEnd,Unit,ContractVolume,SettlementPrice
Phelix-AT Base Month Future,Austrian,Base,Month,Power,2019-11-19,ATBM,2019.11,2019-11-01,2019-11-30,EUR/MWh,720,43.31
Phelix-AT Base Month Future,Austrian,Base,Month,Power,2019-11-19,ATBM,2019.12,2019-12-01,2019-12-31,EUR/MWh,744,41.96
Phelix-AT Base Month Future,Austrian,Base,Month,Power,2019-11-19,ATBM,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,49.23
Phelix-AT Base Month Future,Austrian,Base,Month,Power,2019-11-19,ATBM,2020.02,2020-02-01,2020-02-29,EUR/MWh,696,51.8
Phelix-AT Base Month Future,Austrian,Base,Month,Power,2019-11-19,ATBM,2020.03,2020-03-01,2020-03-31,EUR/MWh,743,46.95
Phelix-AT Base Month Future,Austrian,Base,Month,Power,2019-11-19,ATBM,2020.04,2020-04-01,2020-04-30,EUR/MWh,720,42.61
Phelix-AT Base Month Future,Austrian,Base,Month,Power,2019-11-19,ATBM,2020.05,2020-05-01,2020-05-31,EUR/MWh,744,40.99
Phelix-AT Base Quarter Future,Austrian,Base,Quarter,Power,2019-11-19,ATBQ,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,49.27
Phelix-AT Base Quarter Future,Austrian,Base,Quarter,Power,2019-11-19,ATBQ,2020.04,2020-04-01,2020-06-30,EUR/MWh,2184,42.45
Phelix-AT Base Quarter Future,Austrian,Base,Quarter,Power,2019-11-19,ATBQ,2020.07,2020-07-01,2020-09-30,EUR/MWh,2208,45
Phelix-AT Base Quarter Future,Austrian,Base,Quarter,Power,2019-11-19,ATBQ,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,54.29
Phelix-AT Base Quarter Future,Austrian,Base,Quarter,Power,2019-11-19,ATBQ,2021.01,2021-01-01,2021-03-31,EUR/MWh,2159,56.1
