Data,DEBY2021
2017-04-25,28.98
2017-04-26,28.8
2017-04-27,28.96
2017-04-28,29.04
2017-05-02,28.89
2017-05-03,28.75
2017-05-04,28.46
2017-05-05,28.6
2017-05-08,28.38
2017-05-09,28.3
2017-05-10,28.4
2017-05-11,28.34
2017-05-12,28.37
2017-05-15,28.41
2017-05-16,28.61
2017-05-17,28.85
2017-05-18,28.91
2017-05-19,29.12
2017-05-22,29.35
2017-05-23,29.53
2017-05-24,29.5
2017-05-25,28.9
2017-05-26,29.3
2017-05-29,29.54
2017-05-30,29.79
2017-05-31,29.57
2017-06-01,29.45
2017-06-02,29.73
2017-06-05,29.8
2017-06-06,29.7
2017-06-07,29.69
2017-06-08,29.7
2017-06-09,29.89
2017-06-12,29.56
2017-06-13,29.4
2017-06-14,29.55
2017-06-15,29.55
2017-06-16,29.6
2017-06-19,29.71
2017-06-20,29.75
2017-06-21,29.61
2017-06-22,29.43
2017-06-23,29.4
2017-06-26,29.4
2017-06-27,29.4
2017-06-28,29.43
2017-06-29,29.48
2017-06-30,29.49
2017-07-03,29.57
2017-07-04,29.73
2017-07-05,29.89
2017-07-06,30.18
2017-07-07,30.32
2017-07-10,30.4
2017-07-11,30.05
2017-07-12,30.14
2017-07-13,30.22
2017-07-14,30.2
2017-07-17,30.3
2017-07-18,30.41
2017-07-19,30.41
2017-07-20,30.56
2017-07-21,30.39
2017-07-24,30.09
2017-07-25,30.04
2017-07-26,30.25
2017-07-27,30.23
2017-07-28,30.24
2017-07-31,30.46
2017-08-01,30.35
2017-08-02,30.24
2017-08-03,30.2
2017-08-04,30.21
2017-08-07,30.26
2017-08-08,30.09
2017-08-09,30.34
2017-08-10,30.49
2017-08-11,30.7
2017-08-14,30.91
2017-08-15,30.76
2017-08-16,31.01
2017-08-17,31.1
2017-08-18,31.1
2017-08-21,31.03
2017-08-22,30.81
2017-08-23,31
2017-08-24,31.2
2017-08-25,31.16
2017-08-28,31.1
2017-08-29,30.69
2017-08-30,30.83
2017-08-31,30.7
2017-09-01,30.73
2017-09-04,30.85
2017-09-05,31.13
2017-09-06,31.48
2017-09-07,31.44
2017-09-08,32
2017-09-11,31.49
2017-09-12,32.26
2017-09-13,33.03
2017-09-14,33.8
2017-09-15,33.13
2017-09-18,33.01
2017-09-19,33.44
2017-09-20,33.14
2017-09-21,32.47
2017-09-22,32.43
2017-09-25,33.89
2017-09-26,33.59
2017-09-27,33.64
2017-09-28,33.73
2017-09-29,33.13
2017-10-02,32.64
2017-10-03,32.88
2017-10-04,33.11
2017-10-05,33.08
2017-10-06,33.2
2017-10-09,33.1
2017-10-10,33.43
2017-10-11,33.91
2017-10-12,34.2
2017-10-13,34.37
2017-10-16,34.59
2017-10-17,34.77
2017-10-18,35.75
