Name,Country,Profile,Period,Commodity,TradingDate,ExpiryDate,Contract,Underlying,Maturity,DeliveryStart,DeliveryEnd,Unit,ContractVolume,Type,Strike,SettlementPrice
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,P,59,14.97
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,P,59.5,15.467
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,P,60,15.964
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,P,60.5,16.462
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,P,61,16.96
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,P,61.5,17.458
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,P,45.5,2.773
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,P,46,3.105
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,P,46.5,3.456
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,P,47,3.823
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,P,47.5,4.207
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,P,42.5,1.213
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,P,43,1.418
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,P,43.5,1.646
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,P,44,1.896
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,P,44.5,2.167
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,P,45,2.459
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,C,47,0.873
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,C,47.5,0.757
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,C,48,0.655
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,C,48.5,0.565
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2019-12-19,O2BM,DEBM 2020.01,2020.01,2020-01-01,2020-01-31,EUR/MWh,744,C,49,0.487
